key,name,sortOrder,japanese,instrument,website,group,altEnglish,altJapanese,altWebsite,altWebsite2
aaron-choulai,Aaron Choulai,Choulai; Aaron,アーロン・チューライ,piano,https://aaronchoulai.com/,,,,,
aaron-heick,Aaron Heick,Heick; Aaron,,saxophone,,,,,,
adam-birnbaum,Adam Birnbaum,Birnbaum; Adam,,piano,https://www.adambirnbaum.com/,,,,,
adam-nussbaum,Adam Nussbaum,Nussbaum; Adam,,drums,http://www.adamnussbaum.net/,,,,,
afra,Afra,Afra,あふら,human beatbox,http://afra.jp/,,,,,
aiden-odonnell,Aiden O’Donnell,O’Donnell; Aiden,,bass,https://www.smallslive.com/artists/1431-aidan-odonnell/,,,,,
airi,Airi,Airi,あいり,vocal,https://lit.link/en/airisinger,,,,https://ameblo.jp/airi-singer,
akane-ezawa,Akane Ezawa,Ezawa; Akane,江澤茜,saxophone,https://akaneezawa.com/,,,,,
akane-matsumoto,Akane Matsumoto,Matsumoto; Akane,松本茜,piano,http://akanejazz.com,1,,,,
akane-matsumoto-hiragana,Akane Matsumoto,Matsumoto; Akane,松本あかね,piano,https://piakanet.exblog.jp/,,,,,
akane-shiratori,Akane Shiratori,Shiratori; Akane,白鳥あかね,vocal,https://akanekotori.tumblr.com/,,,しらとりあかね,,
akemi-ohta,Akemi Ohta,Ohta; Akemi,太田朱美,flute,https://ohakemi454.wixsite.com/mysite,,,,,
akiha-nakashima,Akiha Nakashima,Nakashima; Akiha,中島朱葉,saxophone,https://ameblo.jp/akiha-nakashima/,,,,,
akihiro-nishiguchi,Akihiro Nishiguchi,Nishiguchi; Akihiro,西口明宏,saxophone,http://www.akihironishiguchi.com/,,,,,
akihiro-yoshimoto,Akihiro Yoshimoto,Yoshimoto; Akihiro,吉本章紘,saxophone,https://www.akihiro-yoshimoto.com/,,,,https://yoshijazz.exblog.jp/,
akiko-kaminagane,Akiko Kaminagane,Kaminagane; Akiko,上長根明子,piano,http://kaminagane.blogspot.com/,,,,,
akiko-koizumi,Akiko Koizumi,Koizumi; Akiko,小泉明子,piano+vocal,https://akoizumi.weebly.com/,,,,,
akiko-suda,Akiko Suda,Suda; Akiko,須田晶子,vocal,https://akikosuda.wixsite.com/akikosuda,1,,,http://blog.akiko-suda.com/,
akiko-toyama,Akiko Toyama,Toyama; Akiko,外山安樹子,piano,https://akikotoyama.jimdofree.com/,,,,,
akiko-yuki,Akiko Yuki,Yuki; Akiko,結城章子,vocal,https://akiko-yuki.amebaownd.com/,,,ゆうきあきこ,,
akira-igawa,Akira Igawa,Igawa; Akira,井川晃,drums,http://igawaakira.com/,,,,,
akira-kawamura,Akira Kawamura,Kawamura; Akira,河村亮,drums,,,,,,
akira-matsuo,Akira Matsuo,Matsuo; Akira,松尾明,drums,https://www.tunecore.co.jp/artists/Akira-Matsuo,,,,,
akira-omori,Akira Omori,Omori; Akira,大森明,saxophone,,,,,,
akira-sekine,Akira Sekine,Sekine; Akira,関根彰良,guitar,http://akirasekine.com/,,,,https://ameblo.jp/akirasekineguitar/,
akira-sotoyama,Akira Sotoyama,Sotoyama; Akira,外山明,drums,https://akirasotoyama.wixsite.com/officialwebsite,,,,,
